"name","category","total_net_sales","total_qty","order_type"
Soju,alcohol,129991.2,8733,dine-in
Bottled Beer,alcohol,78498.09,8170,dine-in
Hanshin Dakbal,entree,67447.18,2719,dine-in
Pork Mozzarella Cheese Fondue,entree,65309.93,2628,dine-in
Combo B,combo,57139.98,930,dine-in
Kimchi Jeongol,soup & jeongol,50990.86,1973,dine-in
Chicken Mozzarella Cheese Fondue,entree,46245.2,1860,dine-in
Combo D,combo,41225.3,611,dine-in
Combo A,combo,41143.0,680,dine-in
Gochu Maneul Chicken,fried chicken,38815.07,1347,dine-in
Beef Belly Tteokbokki,entree,38244.41,2378,dine-in
Yangnyeom Chicken,fried chicken,33208.33,1150,dine-in
Boneless Fried Chicken,fried chicken,25152.1,1431,dine-in
Grilled Whole Squid,entree,24614.3,1122,dine-in
Combo C,combo,22940.0,336,dine-in
Grilled Chicken Gizzards,entree,21908.98,1287,dine-in
Fried Whole Squid,entree,20877.06,839,dine-in
Fried Whole Chicken,fried chicken,20704.78,1032,dine-in
Oden-tang,soup & jeongol,20652.66,1096,dine-in
DIY Rice Ball,sides,20498.2,3457,dine-in
Flavor Soju,alcohol,18943.0,18943,dine-in
Beef Soft Tofu Jjigae,soup & jeongol,16635.65,1049,dine-in
Hanshin Dakbal,entree,16582.24,717,delivery
Tomato Sauce Gyeran-Mari,entree,16155.14,888,dine-in
Fried Chicken Gizzards,entree,14540.74,764,dine-in
Hanshin Dakbal,entree,14196.34,574,pick-up
Draft Beer - Pitcher,alcohol,13002.58,542,dine-in
Cheese Gyeran-Mari,entree,12346.72,813,dine-in
Kimchi Fried Rice,sides,12338.31,776,dine-in
Egg Soup,soup & jeongol,12032.65,1090,dine-in
Stir-Fried Seafood,entree,11611.41,432,dine-in
Golbaengi Muchim,entree,11571.32,403,dine-in
Mango Soju Ball,alcohol,9891.94,795,dine-in
Fried Mandu,sides,9891.54,767,dine-in
Chi-maek Combo,combo,9633.59,241,dine-in
Makgeolli (막걸리),alcohol,9413.72,628,dine-in
볶음밥 Fried Rice,sides,9236.1,1558,dine-in
Stir-Fried Squid,entree,8757.45,351,dine-in
French Fries,sides,8482.71,1145,dine-in
Spicy Soft Tofu Jeongol with Beef,soup & jeongol,8445.29,280,dine-in
Spicy Mussel Soup,soup & jeongol,7312.2,276,dine-in
Mandu with Cheese,entree,7297.03,449,dine-in
Kimchi Jeongol,soup & jeongol,6946.43,282,delivery
