"id","platform_name","transaction_id","order_date","order_time","amount"
1,DoorDash,,"2024-11-14","20:40:09",52.90
2,DoorDash,,"2024-05-09","19:12:22",24.95
3,DoorDash,,"2024-04-25","20:34:35",31.95
4,DoorDash,,"2024-12-31","22:09:32",36.90
5,DoorDash,,"2024-12-31","19:45:58",27.90
6,DoorDash,,"2024-12-31","19:14:36",32.45
7,DoorDash,,"2024-12-31","18:43:58",60.85
8,DoorDash,,"2024-12-31","17:49:05",54.90
9,DoorDash,,"2024-12-31","17:41:05",60.40
10,DoorDash,,"2024-12-30","22:46:32",24.95
11,DoorDash,,"2024-12-30","18:28:04",77.35
12,DoorDash,,"2024-12-30","17:16:50",44.90
13,DoorDash,,"2024-12-29","19:54:21",54.90
14,DoorDash,,"2024-12-29","19:19:00",29.90
15,DoorDash,,"2024-12-29","18:36:21",32.45
16,DoorDash,,"2024-12-29","18:31:09",50.40
17,DoorDash,,"2024-12-29","17:52:23",29.95
18,DoorDash,,"2024-12-28","23:39:48",36.94
19,DoorDash,,"2024-12-28","22:56:17",20.95
20,DoorDash,,"2024-12-28","17:16:07",44.90
21,DoorDash,,"2024-12-27","23:27:51",55.35
22,DoorDash,,"2024-12-27","20:45:52",20.95
23,DoorDash,,"2024-12-27","19:59:54",49.90
24,DoorDash,,"2024-12-27","19:48:24",30.90
25,DoorDash,,"2024-12-27","17:05:00",48.90
26,DoorDash,,"2024-12-26","22:40:15",33.95
27,DoorDash,,"2024-12-26","22:14:29",3.00
28,DoorDash,,"2024-12-26","18:16:17",45.90
29,DoorDash,,"2024-12-26","18:06:54",56.40
30,DoorDash,,"2024-12-24","22:40:30",24.95
32,DoorDash,,"2024-12-24","21:16:46",50.90
33,DoorDash,,"2024-12-24","20:33:08",56.90
34,DoorDash,,"2024-12-24","19:33:30",58.84
35,DoorDash,,"2024-12-24","19:45:34",27.95
36,DoorDash,,"2024-12-24","19:27:54",29.95
37,DoorDash,,"2024-12-24","17:01:35",52.90
38,DoorDash,,"2024-12-23","22:18:54",80.38
39,DoorDash,,"2024-12-23","21:06:51",29.95
40,DoorDash,,"2024-12-23","20:34:13",24.95
41,DoorDash,,"2024-12-22","21:38:21",52.40
42,DoorDash,,"2024-12-22","21:33:11",20.95
43,DoorDash,,"2024-12-22","20:25:06",37.94
44,DoorDash,,"2024-12-22","19:58:25",71.85
45,DoorDash,,"2024-12-22","19:49:48",33.95
46,DoorDash,,"2024-12-22","19:47:40",39.90
47,DoorDash,,"2024-12-22","17:58:09",59.40
48,DoorDash,,"2024-12-21","23:29:57",53.40
49,DoorDash,,"2024-12-21","21:06:51",73.40
50,DoorDash,,"2024-12-21","18:48:40",52.90
51,DoorDash,,"2024-12-21","17:29:46",64.40
52,DoorDash,,"2024-12-21","17:05:43",46.90
53,DoorDash,,"2024-12-21","17:19:32",68.35
54,DoorDash,,"2024-12-20","21:38:55",29.95
55,DoorDash,,"2024-12-19","21:26:05",24.95
56,DoorDash,,"2024-12-19","17:14:35",52.90
57,DoorDash,,"2024-12-18","22:23:39",75.35
58,DoorDash,,"2024-12-18","22:14:59",66.40
59,DoorDash,,"2024-12-18","19:03:32",24.95
60,DoorDash,,"2024-12-18","17:01:25",29.95
61,DoorDash,,"2024-12-17","22:48:35",20.95
